A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,,Geographical area,Lat,Long,X position,Y position
1,RAMP METER RADAR,W-RDR_RM-14.02,RDR_RM,WEST,14+ 775/0+224,VEHICLE ARRIVAL & DEPARTURE DETECTOR,1,,ΓΕ4,40.58872,22.98656,414089.5388,4493310.512
2,RAMP METER RADAR,W-RDR_RM-14.01,RDR_RM,WEST,14+ 814/0+182,QUEUE DETECTOR,,,ΓΕ4,40.58904,22.98681,414111.41,4493345.704
3,RAMP METER RADAR,W-RDR_RM-13.01,RDR_RM,WEST,13+ 490/0+000,QUEUE DETECTOR,2,,ΓΕ4,40.6007,22.99863,415125.9921,4494628.625
4,RAMP METER RADAR,W-RDR_RM-13.02,RDR_RM,WEST,13+ 494/0+034,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ4,40.60079,22.99812,415083.2657,4494638.156
5,RAMP METER RADAR,W-RDR_RM-11.01,RDR_RM,WEST,11+ 535/0+145,VEHICLE ARRIVAL & DEPARTURE DETECTOR,3,,ΓΕ3,40.61418,22.99145,414535.9053,4496131.204
6,RAMP METER RADAR,W-RDR_RM-11.02,RDR_RM,WEST,11+ 550/0+105,QUEUE DETECTOR,,,ΓΕ3,40.61444,22.9916,414548.5863,4496160.614
7,RAMP METER RADAR,W-RDR_RM-7.02,RDR_RM,WEST,7+ 445/0+133,QUEUE DETECTOR,4,,ΓΕ2,40.64442,22.96968,412733.312,4499509.405
8,RAMP METER RADAR,W-RDR_RM-7.01,RDR_RM,WEST,7+ 425/0+163,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ2,40.64454,22.96929,412700.6629,4499523.343
9,RAMP METER RADAR,W-RDR_RM-5.01,RDR_RM,WEST,5+ 611/0+106,VEHICLE ARRIVAL & DEPARTURE DETECTOR,5,,ΓΕ1,40.66034,22.96871,412672.0396,4501277.54
10,RAMP METER RADAR,W-RDR_RM-5.02,RDR_RM,WEST,5+ 620/0+065,QUEUE DETECTOR,,,ΓΕ1,40.66022,22.96919,412712.7163,4501264.418
11,RAMP METER RADAR,E-RDR_RM-4.01,RDR_RM,EAST,4+ 168/0+308,QUEUE DETECTOR,6,,ΓΕ1,40.6716,22.96089,412026.2886,4502535.367
12,RAMP METER RADAR,E-RDR_RM-4.02,RDR_RM,EAST,4+ 208/0+349,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ1,40.67125,22.96099,412033.6198,4502496.193
13,RAMP METER RADAR,E-RDR_RM-6.01,RDR_RM,EAST,6+ 290/0+387,QUEUE DETECTOR,7,,ΓΕ2,40.65446,22.96609,412442.9897,4500627.736
14,RAMP METER RADAR,E-RDR_RM-6.02,RDR_RM,EAST,6+ 328/0+425,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ2,40.6541,22.96606,412440.0134,4500587.8
15,RAMP METER RADAR,E-RDR_RM-7.01,RDR_RM,EAST,7+ 729/0+235,QUEUE DETECTOR,8,,ΓΕ2,40.64177,22.9693,412698.1504,4499216.101
16,RAMP METER RADAR,E-RDR_RM-7.02,RDR_RM,EAST,7+ 752/0+261,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ2,40.64158,22.96954,412718.0243,4499194.834
17,RAMP METER RADAR,E-RDR_RM-8.01,RDR_RM,EAST,8+ 635/0+120,QUEUE DETECTOR,9,,ΓΕ2,40.63387,22.97222,412934.4886,4498335.435
18,RAMP METER RADAR,E-RDR_RM-8.02,RDR_RM,EAST,8+ 660/0+160,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ2,40.63375,22.97266,412971.8747,4498322.601
19,RAMP METER RADAR,E-RDR_RM-10.01,RDR_RM,EAST,10+150,QUEUE DETECTOR,10,,ΓΕ2,40.62224,22.98135,413691.7368,4497036.489
20,RAMP METER RADAR,E-RDR_RM-10.02,RDR_RM,EAST,10+158,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ2,40.62225,22.98165,413717.615,4497036.553
21,RAMP METER RADAR,E-RDR_RM-11.01,RDR_RM,EAST,11+ 550,QUEUE DETECTOR,11,,ΓΕ3,40.61366,22.99162,414549.5617,4496073.998
22,RAMP METER RADAR,E-RDR_RM-11.02,RDR_RM,EAST,11+ 591/0+181,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ3,40.61366,22.99211,414590.8645,4496073.056
23,RAMP METER RADAR,E-RDR_RM-13.01,RDR_RM,EAST,13+ 540/0+032,VEHICLE ARRIVAL & DEPARTURE DETECTOR,12,,ΓΕ4,40.60047,22.99743,415024.383,4494604.097
24,RAMP METER RADAR,E-RDR_RM-13.02,RDR_RM,EAST,13+ 546/0+005,QUEUE DETECTOR,,,ΓΕ4,40.60051,22.99716,415001.5839,4494608.178
25,RAMP METER RADAR,E-RDR_RM-15.01,RDR_RM,EAST,15+144/0+176,QUEUE DETECTOR,13,,ΓΕ4,40.59065,22.99018,414398.2357,4493521.202
26,RAMP METER RADAR,E-RDR_RM-15.02,RDR_RM,EAST,15+185/0+217.5,VEHICLE ARRIVAL & DEPARTURE DETECTOR,,,ΓΕ4,40.59095,22.99046,414422.3525,4493553.385